pdf_url,question,page
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_North-West-Gemsa-Area_dd20020000_Concession_Kriti.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_Nuqra-Block-1_dd20040718_Concession_Ganoub_Quadra.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_Shukeir-Offshore-Area_dd20050000_Amend-Agree_Petzed_Greystone_Pico.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_West-Gharib-Area_dd19980601_Concession_Dublin_Tanganyika.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fga%2F1_5pages_ga_Diaba-Block_dd20061213_PSC_Total.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fga%2F1_5pages_ga_Etame_dd19950707_PSC_Vaalco.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fge%2F1_5pages_ge_Block-XIc_Kumisi_dd20001212_PSC_Canargo.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fge%2F1_5pages_ge_Ninotsminda_Rustavi_Menavi_dd19960215_PSC_JKX.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Cape-Three-Points_dd20050000_Petro-Agree_Heliconia.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Cape-Three-Points-South_dd20050505_Petro-Agree_Vitol.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Deepwater-Tano_Cape-Three-Points_dd20060208_Petro-Agree_Amerada-Hess.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Deepwater-Tano_dd20060815_Joint-Operating-Agreement_Tullow_Sabre_Kosmos.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Deepwater-Tano_dd20060818_Assignment-Deed_Anadarko_Kosmos.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Jubilee-Field-Unit_dd20090713_Unitization-Operating-Agreement_Tullow_Kosmos_Anadarko.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_Shallow-water-Tano_dd20060000_Petro-Agree_Tullow_Sabre.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_West-Cape-Block_dd20040000_Joint-Operating-Agreement_Kosmos_EO-Group.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgh%2F1_5pages_gh_West-Cape-Block_dd20040722_Petroleum-Agreement_Kosmos_EO-Group.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgm%2F1_5pages_gm_Block-A-2_dd20120524_Exp-Dev-Prod_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgm%2F1_5pages_gm_Block-A-5_dd20120524_Exp-Dev-Prod_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgn%2F1_5pages_gn__dd20060922_PSC_SCS-Corporation.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgn%2F1_5pages_gn__dd20100326_PSC-Amendment_SCS-Corporation.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-F_dd19970326_Joint-Operating-Agreement-Dev-Prod_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-F_dd20000101_Assignment-State-Participating-Interest-PSC_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-F_dd20000101_First-Amendment-to-PSC_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-G_dd19970327_Joint-Operating-Agreement-Dev-Prod_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-G_dd20000101_Assignment-State-Participating-Interest-PSC_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgq%2F1_5pages_gq_Block-G_dd20000101_First-Amendment-to-PSC_Triton_Energy-Africa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fgt%2F1_5pages_gt_LA-9-92_LA-9-93_L-10-92_dd19930701_Exploration-Contract_Pentagon.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fid%2F1_5pages_id_Bengara-II-Block_dd19971204_PSC_Pertamina_Apex.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fid%2F1_5pages_id_Jatiluhur_Onshore-W-Java_dd19970922_PSC_Saba-Petroleum.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fid%2F1_5pages_id_Yapen-Block_dd19990927_PSC_Pertamina_Apex.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fie%2F1_5pages_ie_No-1_13_dd20130823_Pet-Exp-Licence_Kosmos_EuropaOil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fie%2F1_5pages_ie_No-1_13_dd20130828_Pet-Exp-Licence_Kosmos_Antrim.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fie%2F1_5pages_ie_No-2_13_dd20130823_Pet-Exp-Licence_Kosmos_EuropaOil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fil%2F1_5pages_il__dd20120314_Gas-Sales-Purchase-Agreement_Israel-Electric-Corporation_Nobel-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Amguri-Field_dd20010223_PSC_Assam_%20Joshi.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block-CB-ON-2_dd20000412_PSC_ONGC_%20GSPC_%20HOEC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block-CB-ON-2_dd20060824_Amendment-for-PSC_ONGC_%20GSPC_%20HOEC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block-DS-ONN-2003-1_dd20050923_PSC_Geoglobal.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block-DS-ONN-2003-2_dd20050923_PSC_Gail_Jubilant_Geoglobal.pdf,Find the contractors in this document.,1
